Sl.No	Customer Name	Location	State	Contact Name	Contact Number	Email Id	GST NUMBER	#N/A
111	Gram Oorja Solutions Pvt Ltd	Pune, Maharashtra	Maharashtra	Mr. Kiran	9372862342	sumeet@gramoorja.in	27AADCG1321Q1ZI	NEW SURVEY NO.413/9 , 413/13, Poothurai, POOTHURAI REVENUE VILLAGE - 605111
112	GRATITUDE FARMS PRIVATE LIMITED	Poothurai, Tamil Nadu	Tamil Nadu	VP Sharma			33AAHCG4370M1ZE	#N/A
113	Green Energy 	Bangalore, Karnataka	karnataka	Mr. Babu	99480002992			Cottage No 4, Bangalore Palace, Vasanth Nagar, Bangalore - 560052
114	Green Fuel Supplies Pvt Ltd	Bangalore, Karnataka	karnataka	Mr. Deepak 	9845004988	deepak@greenfuel.co.in	29AADCV0598G1ZZ	No. 16/1, Bangaru Nagar, Opp Vellalar Engineering college , Thendal, Erode - 638 012
115	Green Hitech Solutions	Erode, Tamil Nadu	Tamil Nadu	 Prabhakar :	8883391879	greenhitechsolutions@gmail.com ;  greenhitechsolutionsofc@gmail.com	33EQZPS8038B1ZA	Green Life Solutions Pvt. Ltd.,Plot No.-36, Atrey layout,Pratap Nagar, Nagpur - 440022, Maharashtra
116	Green Life Solutions Pvt. Ltd.,	Nagpur, Maharashtra	Maharashtra	Jayant Karankar : 	9225332013		27AAECG7182J2Z7	Green Power System , No. 26 / 99F, National Building, Kallittanada Mailambadi Road,, Govindapuram Post, Kozhikode - 673 016
117	Green Power System	Calicut, Kerala	Kerala	Mr. Thomas : 	9847784999, 7510766999	info@greenpowersys.com	32BTZPP8379Q1Z5	Mr. Ramanand Kashyap , Gurucharan Power Solutions , A/4-12, Tirupati Garden, Tapdiya Nagar, , Darga Road, Shanurwadi, , Aurangabad 431 005, Maharashtra , 9503485558 & 8999405107
118	Gurucharan Power Solutions	Aurangabad , Maharashtra	Maharashtra	Ramanand Kashyap	 9503485558 & 8999405107	gurucharanpower@gmail.com.	27AAQFG4733J1ZZ	#N/A
119	Hct Sun ( India) Pvt Ltd	Pune, Maharashtra	Maharashtra	PRIYANKA YADAV  : 	 91 7208930453	amol@hct.solar	27AAECH0364H1ZQ	Hct Sun ( India) Pvt Ltd, L&T Seawoods Grand Central,Tower 1, 10th floor,Office 138, Sector 40, Nerul,Navi Mumbai 400706, Maharashtra
120	Helios Services	Hyderabad, Telangana	Telangana	Mr.Kiran -	9849070064	"	kiran@thehelios.in"	36AAHFH8993C1Z1	"Helios Services , Plot No 37, UBI Colony,, Road No 3, Banjara Hills, Hyderabad,
 
 , Telangana, India, 500034"
121	Hemant Chemicals	JALGAON	Maharashtra	Mr. Swapnil Cell:	0257- 2238763, 9370171647	info@hemantchemicals.com	27AABFH4349G1ZG	67, NAVI PETH OPP. OLD BUS STAND, JALGAON- 425 001, Maharashtra, PH. 0257- 2238763
122	HERS  Home Need Shop	Auroville, Tamilnadu	Tamil Nadu				33AAATA0037BXZV	HERS, Kottakarai, Auroville-605101
123	Hyde source solar	Bangalore, Karnataka	Karnataka	Mr. Prathik	9380781216	prathik@hydesource.com		#N/A
124	Ideal Solar	Tirupur, Tamil Nadu	Tamil Nadu	Mr. Venkatasubramaniam. M; Augustin Rajasekar D	9944455780; 9003595780	sales@idealsolarsolutions.in		Mr. Venkatasubramaniam. M , Ideal Solar Solutions , No.46/60, Sadayappan Koil Street , Union Mill Street Extn, Valipalayam , Tirupur - 641 601 , 9894055780 & 9944455780
125	Illume Industries	Chennai, Tamil Nadu	Tamil Nadu	Vignesh Sekaran	70920 00307	vignesh.illuminei@gmail.com		Illumine Industries Private Limited, Chennai,
126	India Battery Service	Coimbatore, Tamilnadu	Tamil Nadu	Mr. Akshay Parekh	9894472602	ibsibs@rediffmail.com	33ARMPA1178Q1ZH	195, Rangai Gowder Street, Coimbatore- 641001,
127	INDIIAAN SUN PROJECTS AND ELECTRIC WORK	Maharashtra, India	Maharashtra	Mr.Aditya - 	8087709227	"	info@indiansun.in"	27BZYPB0758G1Z1	INDIIAAN SUN PROJECTS AND ELECTRIC WORK , Near TV Reality Center,Ganesh Nagar, Gondia, Gondia- 441601, Maharashtra, India
128	Indu Sukedo Shegokar	Bhuldhana, Maharashtra	Maharashtra	Mr. Avinash : 	9960609258	avinashsshegokar@gmail.com		IndusAssist Private Limited , No 92, 2nd C Main, RHCH Layout, Annapoorneshwari Nagar, Bengalore - 560091
129	IndusAssist Private Limited	Haryana	Maharashtra	Mr. Aman Gupta	9729210008	md@indusassist.com	29AAECI3535P1Z1	ASK Towers, 5th Floor AECS Layout, Kundanahalli, Bangalore - 560037, Bangalore
130	Insolare Energy Pvt Ltd	Mumbai, Maharashtra	Maharashtra	Sudhakar, Mob- 	9821664213	chandrashekar@insolare.com	 29AABC19750P1ZR	Insolate Solar Pvt Ltd, Plot No 73, New DLF Industrial Area, Faridabad - 121003, Haryana
131	Insolate Solar Pvt Ltd	Faridabad,Haryana	Haryana	Bharat	9810217892		06AAECI1563K1ZJ	Isha Solar Energies, , No - 439,1 St Main Road, Pailayout ,, Bangalore -560016
132	Isha Solar  Energies,	Mangalore, Karnataka	Karnataka	Robin Rajesh	9074355231	"	robin.rajesh@gmail.com"	29AHAPR9184P1ZA	Jaipur Tuffen Glass Industries Pvt Ltd, E-2285 (c), Ramchandrapura Industrial, Area Sitapura Extension, Goner Road Jaipur- 302022, Rajasthan
133	Jaipur Tuffen Glass Industries Pvt Ltd	Jaipur, Rajasthan	Rajasthan	 Cont: Mr.Saurabh Sethi - 7014545283	7014545283		08AADCJ2204M1ZN	No 66, 4th cross, Govinayakanahalli, kumaraswamy layout, 2nd stage,Bangalore 560078
134	Jas Ecoenergy Solutions INC	Bangalore, Karnataka	Karnataka		9663563195	jasecoenergy@gmail.com	29BZSPA4838A1ZB	LIG-142,, Balajinagar, Kukatpally, Hyderabad- 500072
135	Jighisol Systems Pvt Limited	Kukatpally, Hyderabad	Telangana	Mr. Arrunav	   8977111277, 9618900227	arrunav@jighisol.com	36AADCJ7980J1Z1	JP Solar , 464-1A Sirunkundram Road, Sirunkundram Village, Sirunkundram, Kanchipuram District, Tamilnadu - 603108
136	JP Solar	Kanchipuram, Tamilnadu	Tamil Nadu	Mr.Shanmuganathan - 9176008564	Mr.Shanmuganathan - 9176008564	dasanp.jps@gmail.com	33AALFJ9316M2ZW	Jubilant Consulttech. Franco Enclave P T Jacob Road, South Moolamkuzhi, Cochin - 682507, Kerala
137	Jubilant Consulttech.	Cochin, Kerala	Kerala	Capt Francis: 	98463 44995		32AAPPF8433R1Z4	Jugal Tube Pvt Ltd , Shed No. A2/56 , GIDC, Killa Pardi,, Dist. Valsad 396125, Gujarat
138	Jugal Tube Pvt Ltd	Gujarat	Maharashtra	Mr. Vimal Lamba	8527137400	"	jtplsolar@gmail.com"	24AAACJ6148D1ZW	Kabra Enterprises, Shree Ram Path, Koiriya Tola, Raxaul - Bihar - 845305
139	KABRA ENTERPRISES	Raxaul - Bihar	Bihar				URP	#N/A
140	Kaizen Energy	Hyderabad	Telangana	Mr. Pavan   	9963413105	kaizen.pbc@gmail.com		"Office Address: 8-7-178/27, swarnadhama nagar, Old Bowenpally,
 Hyderabad – 500 011, Telangana, INDIA."
141	Kalinda Solar Pvt Ltd	Karnal,, Haryana	Haryana	Mr.Ajeet Singh  	8529373805		06AAGCK6750L1Z6	Mr.Ajeet Singh ,Kalinda Solar Pvt Ltd ,Sco 22, Urban Estate,Sector 13, Karnal,, Haryana 132001, , 8529373805 , ,
142	Kalinga Kommercials	Bhuvaneshwar, Odissa	Odissa	sanjai tawan	9937007399	sd@kalingasolar.com	21AANPD9614Q1ZC	Mr.Sanjay Dhawan , Kalinga Kommercials , 23, Shubham Market, Ram Mandir Sqaure, , Bhubaneswar - 751001 , 9937007399
143	Kankaria Solar Systems	Jodhpur, Rajasthan	Rajasthan	Rakesh  	98290 24513	uttamrakesh@gmail.com	08AGIPK6999C1ZX	Kankaria Solar Systems, Kankaria Building, First A Road, Sardarpura,Jodhpur - Rajasthan - 342003
144	Karmasukom	Bhiwandi	Maharashtra	Mr. Karan		karan@karmasukom-energy.co.in		No. 10 Pipeline Road, Bengaluru - 560057
145	Kaval Power Private Limited	Bangalore, Karnataka	Karnataka	Mr. Ashish   	9535300288	ank@kavalgroup.com	29AAFCK9564M1ZN	Kaytom Energy Private Limited, TC 6-3412, Floor-, Koodu Buildings,Kochullur Junction, Thiruvananthapuram-695011
146	Kaytom Energy Private Limited	Kerala	Maharashtra				32AAGCK2770C1ZY	Groves Hill Road,, P.B No.35,, Kotagiri-643217, Nilgiris
147	Keystone Centre	Kothagiri, Nilgiris	Tamil Nadu	Mr. Wilfred	9443747782	kf.keystone-foundation.org	URP	KKN Energy Private Limited, Vridhi D2, No. 45, 1st Main Road,Raja Annamalaipuram, Chennai - 600028.
148	KKN Energy Private Limited	Chennai, Tamil Nadu	Tamil Nadu	Shakir -	7550081547		33AAFCK6574R1ZS	Branch: 5-B, Sri Alamelu Nagar, Kamarajar Road, Coimbatore, Tamil Nadu.
149	KONDAAS AUTOMATION PVT LTD.,	Coimbatore, Tamilnadu	Tamil Nadu	uma	9244414441, 9894066529	"	uma@kondaas.com,
purchasekondaas@gmail.com"	33AAACK7337F1ZR	Mr.Santosh Jain ,Koushith Solutions , Mahaveer Road, Behind Jain Temple, ,Mandipet, Davanagere, Davangere-577001, ,Karnataka, India ,8217463204
150	Koushith Solutions	Devangere, Karnataka	Karnataka	Mr. Santosh Jain	9060331047	"	koushithsolutionsdvg@gmail.com"	29AGAPJ3772G1ZD	Kovvai Auto Power , No.195, R.G.STREET, Coimbatore- 641001
151	Kovvai Auto Power	Coimbatore, Tamilnadu	Tamil Nadu	Mr. Akshay Parekh	9894472602	"	ibsibs@rediffmail.com"	33AEFPP5969L1ZV	29/2862. ‘ADITHYA’, NEAR GANDHI SQ., POONITHURA,Kochi - 682038
152	KRAFTWORK SOLAR PVT LTD	Kochi, Kerala	Kerala	Karthik.S,	9446810999, 0484-2707228	info@kraftworksolar.com	32AABCK9840J1ZF	Krannich Solar Pvt Ltd, Gate No. 516, At Post Wagholi, Opp- To Vijay Warehousing, Katakewadi.Tal. , Haveli, Dist - Pune - 412297, Maharashtra
153	Krannich Solar Pvt. Ltd	Pune, Maharashtra	Maharashtra	Pavan Naigandhi 	7287045788 /7263946206		27AAHCK3327Q1Z0	KRIPA AGENCIES, A100, Kanaka Nagar Vellayambalam, Trivandrum 695010, Kerala
154	KRIPA AGENCIES	Trivandram, Kerala	Kerala				32BYBPS2619M1Z9	Mr. Venkat Balaji , Kyraphoton , No. 104, Kamakshi Residency, , Main Road,Sheela Nagar , Visakhapatnam - 530 012 , 9790923111
155	KYRA PHOTON TECH PVT. LTD - TN	THIRUPUR, Tamil Nadu 	Tamil Nadu	 Vijay Antony    9940090198,	 Selvam/9840995741	kyraphoton@gmail.com; venkat.balaji@kyraphoton.com	33AADCE5584D2ZS	Laxminarayan Solar Systems, 67, NAVI PETH OPP., OLD BUS STAND, JALGAON- 425 001, Maharastra
156	Laxminarayan Solar Systems	JALGAON	Maharashtra	Swapnil	9370171647	info@hemantchemicals.com	27AABFH4349G1ZG	Karmasukom Energy LLP , Unity 12, C/8, Bhumi Industrial, Pimplas, Vehele, Thane- 421301
157	Lesol Solar LLP	Kannur, Kerala	Kerala	Rimna	6235 323 231/98467 55004	info@mylesol.com	32AAHFL3153E1ZR	Lesol Solar LLP , OPP DINESH BHAVAN, S N PARK ROAD, P O PAYYAMBALAM,, KANNUR-670001, Kerala
158	Lightning Power Control (india Battery)	Coimbatore, Tamilnadu	Tamil Nadu	V. BALAJI	9790923111	kyraphoton@gmail.com		Lizy Jose , Pulikkan House, Thrissur- 680651, Kerala
159	Lion Energy (insolare)	vizag	Andra Pradesh	Mr. Sairam	9841669755			Abraham Kuruvilla , Luma Systems , Thadathil Building , Vakathanam PO. Kottayam - 686538, Kerala , 9447356661
160	Liv solar			Mr. Lokesh	9945459316			Lune Technology, No.35/9, East Vanniyar Street, West K K Nagar, Chennai- 600078.
161	Lizy Jose	Trissur, Kerala	Kerala				URP	Distt Court A Block, Ranjit AVN Amritsar, Punjab - 143 001
162	Luma Systems	Kotayam, Kerala	Kerala	Mr. Abraham Kuruvilla	9447356661	info@lumasystems.in	32CDHPK3649D1ZS	Mahalaxmi Enterprises , Gut No. 118/1/1A, Plot No. 19, House No. 2, Ahuja Nagar, Nimkhedi Shiwar, Jalgaon - 425001, Maharashtra
163	Lune Technology	Chennai, Tamil Nadu	Tamil Nadu				33CIVPP4019D1Z6	Manorama Singh, Lawspet, Pondicherry- 605008
164	Madhav Vidya Niketan	Amristar	Punjab	Kedar Nath	9888029503	seskochi.19@gmail.com	URP	#N/A
165	Mahalaxmi Enterprises	JALGAON	Maharashtra	 Ratansingh Rajput	9766155861	enterprisesmahalaxmi088@gmail.com	27DJJPP0010C1ZR	Mathirmandir, auroville, 605101
166	Manorama Singh	Pondicherry	Pondicherry				URP	Milani Touchlife Solar Energy Pvt Ltd , Sco 53-54-55 Sector 17D, THIRD FLOOR SECTOR-17D, Chandigarh - 160017
167	Maruthi Solar	Bangalore, Karnataka	Karnataka	Mr. Nayak	9980140804	info@maruthisolar.com		"MITTAL GLOBAL COT INDUSTRIES , Pansemal Road Khetia Dist 
 
 , Barwani(M.P)-451881"
168	Mathirmandir	Auroville, Tamilnadu	Tamil Nadu	Puthiyaraj 9384037091	9384037091		URP	Moopens Energy Services LLP, 65/1098, ST Sebastian Road,Kaloor - 682017, Kerala, India.
169	Milani Touchlife Solar Energy Pvt Ltd	Chandigargh	Maharashtra	Ms Rooma – 7307258097	7307258097	"	operationmilani@gmail.com"	04AALCM8006E1ZP	Morning MeadowsV , Vaisyam Complex, Wadakkanchery Road,, Kechery, Thrissur - 680501, Kerala
170	MITTAL GLOBAL COT INDUSTRIES	Madhyapradesh	Maharashtra	Darshan : 8855042498	8855042498	Mittalkht@gmail.com	23AAVFM4593M1ZG	NavAlt Solar & Electric Boats Pvt. Ltd , 1st Floor,Building No:298/B1,, University Road,CUSAT PO, Kochi-682022 Kerala India
171	Moopens Energy Services LLP	Kerala	Kerala	Mr.Suhail - 9946788884	9946788884		32ABGFM5237J1Z9	Lightning Power Control , No. 23, Veeraiya Street, Vazhudavur Road,, Puducherry - 605 009
172	Morning MeadowsV	Kechery, Thrissur	Kerala	Ziyad - 	9207338027	Morningmedows@gmail.com	32AERPC2955B1ZV	Network Techlab (I) Pvt Ltd , 41, Sarvodaya Industrial Estate , Opp. Paper Box,, Off. Mahakali Caves Road , Andheri East, Mumbai, Maharashtra - 400093
173	NavAlt Solar & Electric Boats Pvt. Ltd	Cochin, Kerala	Kerala	Prajod; Sangeet	9947333783; 81380 26545		32AAECN5227B1Z1	3A Regent Park,, Kolkata-700040., Mr. Sagar Sharma, Cell: 9674735960
174	Network  Techlab (I) Pvt Ltd	Mumbai, Maharashtra	Maharashtra	Sachin, Praveen	9167730533	"	pravin@netlabindia.com,
sachin.khamkar@netlabindia.com"	27AABCN2665A1ZT	#N/A
175	New Creation	Kolkata,West Bengal	West Bengal	Sagar Sharma	9674735960	sagarmalsharma2@gmail.com	19AAHFN2507L1Z2	#N/A
176	NEW VENTURE RENEWABLE ENERGY	Bangalore, Karnataka	Karnataka	Niranjan	6360 671 683	sales@newventurerenewableenergy.com	29BRNPR4895R1Z7	NEW VENTURE RENEWABLE ENERGY , Third FLOOR, No.1648, Opp. ROYAL COUNTY,, BDA Layout 8th, Bangalore - 560 083, Karnataka
177	Next Gen Green Solar			Mr. Hemant Parikh	9867381952	info@next-gengroup.com		Nimesh Energy Solutions Pvt. Ltd., MIG 18, Bharhut Nagar, Satna, Madhya Pradesh - 4850001
178	Nimesh Energy Solutions Private Limited	Bhopal, Madhya Pradhesh	Madhya Pradhesh	Mr. Ashish Vishway, 8871966627	Mr. Ashish Vishway, 8871966627		23AAECN9610J1ZG	Jeethan Castelino , Nlite Energy , Tripthi complex,Adjacent to Taj motor, , Kankanady by Pass Road, , Mangalore - 575002 , Karnataka , 9886970537
179	Nlite Energy Solutions LLP	Mangalore, Karnataka	Karnataka	Jeethan Castelino	9886970537	info@nliteenergy.com	29AARFN2447F1ZX	Nolly, Samasti, Auroville - 605 101
180	Nolly	Auroville	Tamil Nadu				URP	Mr. Aditya Bhandari , Northern Light Energy , G1 Kamala Heights, , 433/D, Somwar Peth, , Pune 411 001, IN , Maharashtra , 9049296783
181	Northern Light Energy	Somwar Peth,, Pune	Maharashtra	 Aditya Bhandari 	9049296783	aditya@northernlightenergy.in	27BSNPB7343D1ZT	NRG Technologists Pvt Ltd , No. 989/6 GIDC Makarpura, Vadodara 390010
182	NRG Technology	Baroda	Gujarat	Mr. Chaitanya Yadri	9824652624	cyardi@nrgtechnologists.com		24-1130U, VK Tower,Mankavu,Calicut-673 007, Kerala
183	Nurture sustainable technologies	Calicut, Kerala	Kerala	Mr Sajad	9544193778	sajad@nurturetechnologies.in	32AAQFN2340A1ZT	#N/A
184	Omnipresent Solar	Pune, Maharashtra	Maharashtra	Mr. Gaurav	9762320007			Onyx Siri Technologies , 2-2-1165/1/2, Tilak nagar,, Hyderabad - 500044, Tlangana State
185	Onyx Siri Technologies	Hyderabad, Telungana	Telangana	 Ms. Shirisha Polu	9000855655	sales@onyxsiri.com	36CGTPP8177J1ZB	710 Eco star, Vishehswar road, Goregaon( E ), Mumbai- 400063, Maharashtra
186	Oorjan Cleantech Pvt Ltd	Maharashtra	Maharashtra	 Ashish Gupta-8000420229 & Saurabh- 9045757618	9004286285, 9987034594	sanjana@oorjan.com,;anagha@oorjan.com,;accounts@oorjan.com,;gautam@oorjan.com,; shreyas@oorjan.com	27AACCO0718N1ZA	Orb Energy Private Limited, No. 95 Digital Park Road,2nd Stage, Yeshawanthapura,Bengaluru 560 022, Karnadaka, India
187	Orb Energy Private Limited	Bellary  - Karnataka	Karnataka 	Madan Kumar S R,	9900092186	sr.madan@orbenergy.com	29AAACO8596J1ZO	Ornate Agencies Pvt Ltd, G-14. Arunachal Building, Barakhambaa Road,New Delhi-110001
188	Ornate Agencies Pvt Ltd	New Delhi	New Delhi	Mr. Arvind Jain	9940270057	arvind.jain@ornatesolar.com	07AAACO2237Q1Z6	Park Guest House, Sri Aurobindo Ashram Trust, 1, Goubert Avenue ( Beach Road), Puducherry - 605 001
189	Park Guest House	Pondicherry	Pondicherry					Door No 200A, Madhavaram High Road, Madhavaram, Chennai: 600060, Tamilnadu
190	Parry Enterprises India Limited	Chennai, Tamil Nadu	Tamil Nadu	 Arunkumar N	8056008624	ArunkumarN@corp.murugappa.com 	33AAACP3643D1ZX	Elimchampet Village, Tirukazhukundram Taluk, Kanchipuram District - 603 405
191	Pathashaala (PCFL-KFI).	Thirukazhukundram, Kanchipuram	Tamil Nadu	Uma Iyer	7299938920/7299938910	gopinathmanikandan@hotmail.com	33AAATK0397G1ZS	Penta Solarex Pvt Ltd , Ground Floor, R - 20, Shree Dham,, Yudhishter Marg,C- Scheme, Jaipur - 302005
192	Penta Solarex Pvt Ltd	Bharatpur	Rajasthan	Mr. Lokesh -	9782879765	prakhar@pentasolarex.com	08AACCP1486C1ZL	RS No 157/1, 158/1, 158/2, 165/1, 166, Of Khijadiya Nana, RS No 15/1 of Depaliya, Rajkot - Jamnagar , Padadhari.Rajkot - Gujarat - 360110
193	Pixon Green Energy Pvt Ltd	 Rajkot - Gujarat 	Gujarat	Ms. Neha Mishra	9079637697	neha.mishra@pixonenergy.in	24AAKCP9148H1Z2	#N/A
194	PN Automation and Energy Solutions	Maharashtra	Maharashtra	Himanshu Ingale	9518798020	pnaes@outlook.com	27AAUFP5446P1Z6	PN Automation and Energy Solutions , No. 14, Nakshtra, Pratap Nagar,, Jalgaon, 425001
195	Polaar Tex	Tirupur, Tamil Nadu	Tamil Nadu	Vinoth	7373727276	polaartexoffice@gmail.com	33AFOPP6530R1ZP	No.7, V.K.R. Thottam 1st Street, Bss Road, Tirupur - 641 601, Tamilnadu
196	Powerect Systems	Trivandrum, Kerala	Kerala	surjit	81299 98126	uniqpower@yahoo.co.in	32AAOFP8350Q1ZI	Powerect Systems , Gongotri GRAC257, First Floor,, Guruji Road, Kuruvikadu, Vattiyurkavu, Trivandrum - 695013
197	Power-Up Solar	Bikaner, Rajasthan	Rajasthan				08CYQPA0416C1ZW	Power-Up Solar, Barah Guwad Chowk, Behind Mahadev Temple, Bikaner – 334001, Rajasthan
198	Prabhatkiran Sustainable Energy Pvt Ltd	Jalna, Maharashtra	Maharashtra	Mayur	9423844451	accounts@prabhatkiranenergy.com	27AAJCP3301K1ZF	Mr. Mayur , Prabhatkiran Sustainable Energy Pvt Ltd , 'Vidhata' Priyadarshani Colony , Sambhaji Nagar , Jalna - 431 203, Jalna - 431 203 , Maharashtra , 9423844451
199	Prana Renewable Energy Pvt Ltd	Thiruvananthapuam, Kerala	Kerala	Vinay 	7560807160	vinay@pranasolar.com	32AAICP9506F1ZH	446-D, Bapuji Nagar, Pongummoodu Medical College, Thiruvavananthapuram - 695011, Kerala
200	Prasiddhi solar Pvt ltd	Bangalore, Karnataka	Karnataka	Mr Krishna-  9008231732	9008231732	krishnakumarashetty@prasiddhisolar.com	29AAKCP5140K1Z1	Prasiddhi solar Pvt ltd , No. 293 1st Floor, Bekkarle Complex,, Nagarbhavi 2nd Stage, Bangalore-560072, Karnataka
201	QRS Retail Limited	Kotayam, Kerala	Kerala	Mr.C.Murugan ,Deepak P Anil : Office -	9847927449 ;  8606863722	deepakpanil@qrs.in ; anderson.kj@qrs.in	32AAACQ1665J1ZJ	Mr. Anderson , II/284, Visalatha , Kottayam - 686001 , West Temple Road, , Kerala , , 9446967853
202	R J, Electricals	Bangalore, Karnataka	Karnataka	Niranjan - 6360 671 683	 6360 671 683		29BMZPP8420K1Z0	R J, Electricals , No 2, Thirunaryana Iyengar Layout, Old Post Office Road, 7th Block ,, Jayanagar West - Bangalore - 560070
203	Raajratne Energy Holdings Pvt. Ltd.	Hyderabad	Telangana	Mr. Naresh	9177048881;  040-23559922-25	naresh.r@rehpl.co.in;  contactus@rehpl.co.in		Radiant Technologies # 1274, 14th Cross, Indira Nagar, 2nd Stage Bangalore - 560038
204	Radiant Solar	Bangalore, Karnataka	Karnataka	Mr . Arun Kumar	9845216865	radiantech@gmail.com		"Radianz Energy Pvt. Ltd.
 No. 26/77, II Floor,
 Dr. Ranga Road, Mylapore
 Chennai - 600 004, India."
205	Radianz Energy	Chennai, Tamil Nadu	Tamil Nadu	Mr. Seethram	9551293933	seetharaman@radianzenergy.com		S-557, School Block, Shakarpur, Delhi - 110092
206	Radion Energy Pvt Ltd	Nagpur, Maharashtra	Maharashtra	 Shubham Shiv Kumar Singh / Ankur	9834233053	info@radionenergy.com	07AAJCR5399F1ZW	Radius Solar World, M60, First Floor M Block, 9th Street, Anna Nagar East,Chennai 600102
207	Radius Solar World	Chennai, Tamil Nadu	Tamil Nadu				33AQRPN3262A3ZZ	Rajdeep Energies Pvt.Ltd , Sy. No.445&446, Medchal to Miyapur Bi-Pass Road,, Near Ayodhya Junction, Gowdavally ( V), Medchal (M), PIN: 501 401, Hyderabad, Telangana
208	Rajdeep Energies Pvt.Ltd	Hyderabad, Telangana	Telangana	Mr. Murthy  / Mahesh	9848540264 / 77022 02384  	Powercontrol@rajdeep.co.in; Murthy@rajdeep.co.in	36AADCR3614F1ZN	Rama Reflection India , No. 126, Opp Rajasthan Hospital, Banar Road, Jodhpur, Rajasthan - 342027
209	Rama Reflection India	Rajasthan	Maharashtra	Ram Jangid : 9099973475 ,9782041408	 9099973475 ,9782041408		08BKRPB7338G1ZW	Ranganathan. V, No.216,Gandhi Bazar, Near Bus Stand,Gingee - 604 202, Villupuram Dist, Tamilnadu
210	Ranganathan. V	Gingee - 604 202	Tamil Nadu		9443243150		URP	Mr. Sumant Khot ,Ravindra Solar energy ,Ravindra Energy Limited, BC 109, ,Davidson Road, Belgaum-590001, , Karnataka, India ,9373679608
211	Ravindra Solar energy			Mr. Sumant Khot	9373679608	sumant.khot@ravindraenergy.com / raghuveer.kattimani@ravindraenergy.com		RBA Power Private Limited, Old No-165/4, New No 1/12A,Vengateshwara Nagar ,20th Cross Street, Ramapuram, Chennai - 600 089, Tamilnadu
212	RBA Power Private Limited	Palladam - 641664	Tamil Nadu	Mr. Manikandan	9840859335 / 9600074654.		33AAHCR4102J1ZN	No.IV/219,B4, Pala Road, Chunkam, Kolani P.O, Thodupuzha - 685608, Kerala.
213	Reecco Energy India Pvt ltd	Thodupuzha - 685608, .	Kerala	Baby Martin	9745697444	baby@reecco.com	32AAGCR3382K1Z8	Reena Apparels, No. 6-7, Anand Vihar, Near Azad Nagar, Bahadur-Ke-Road, Ludhiana - 141008, Punjab
214	Reena Apparels	Ludhiana, Punjab	Punjab				03AEKPJ8885Q1ZK	REJI THOMAS , VADAKADATHU REJI VILLA, CHERUPUNCHA,, PERINGANADU. P . O, ADOOR, KERALA 691551
215	REJI THOMAS	Kerala	Maharashtra	Reji Thomas	9633945836	rejioman@icloud.com	URP	Renergys Systems India Private Limited , AP VI/683 ANUJTHENGU. P.O, Thiruvananthapuram – 695309
216	Renergys Systems India Private Limited	Trivandram, Kerala	Kerala	Mr.Arun - 9605322221	9605322221	"	Indiarenergy@gmail.com"	32AAGCR4791J1Z3	Renq Power Solution , xvII/222, College Road, Aruvithura PO, Kottayam ,Kerala - 686122
217	Renq Power Solution	Cochin, Kerala	Kerala	M.T. Thomas : 	7736060605	chacko@renq.co.in; thomasmt@renq.co.in	32AAGCR5649R1ZO	#N/A
218	RG Clean Energy	Khopoli, Maharashtra	Maharashtra	 Nitin Kholi 7030229299	7030229299	nitin@rgcec.com	27AAYFR0446B1Z3	Ayob ,Risto Solar , 30/146 Anjikath, VMB Rd, ,Changampuzha Nagar, ,Pathadipalam, PO, Kerala 682033 ,7510237777
219	Ricans Green Pvt ltd	Gurugram		Mr. Samarth Agarwal	8510010565	samarth@ricans.in		No. 15A, 2nd Floor., Thillai Nagar Main Road, Trichy - 620 018, Tamilnadu
220	Risto Solar			Mr. Ayob	7510237777	ceo@ristosolar.com		#N/A
221	Riveraa Computers	Trichy, Tamil Nadu	Tamil Nadu	Muthu Kumaran	9842455119	riveraasunway@gmail.com>	33AEWPM9450L1ZP	#N/A
222	Roop Solar	Chandigarh		Mr. Simran	9876941010	simranwalia9033@gmail.com		Sachet Advisory Services Private Limited , E 4 Shastri Nagar Ajmer, Rajasthan - 305001
223	Sachet Advisory Services Private Limited	Ajmer, Rajasthan	Rajasthan	Mr. Vishal                      	Mr. Vishal - 94140 15129                        	solars4u@gmail.com	08AAVCS0873K1ZL	SACHINS IMPEX , W - 350, T.T.C. INOUSTRIAL AREA,, MIDC RABALE, NAVI MUMBAl-400701, Maharashtra
224	SACHINS IMPEX	NAVI MUMBAl	Maharashtra	Mr. Ranjit deshatwad	9168052641 /9821081528		27AAKFS6523J1ZT	Ponmanis Building, Chalakudy, Thrissur, Kerala - 680307
225	Safe Tek Maintenance & Systems,	Thrissur	Kerala	Mr. Joo Jacob	9946559415	joojacob@gmail.com	32AKDPJ8773G1Z3	SARA SOLAR ENERGY , Survey No 2, Omkar Building, Gaikwad Nagar, Dighi, Pune - 411015, Maharashtra
226	SARA SOLAR ENERGY	Pune, Maharashtra	Maharashtra	 Sachin Tule	7304089865 / 9637833899 / 9284241669	sarasolarenergy@gmail.com	27AFFPT7183R1ZC	#N/A
227	Sauryakrupa Solar			Mr. Manoj	8275972166			Ground Floor Adisha Appartment, Khanderao Colony,Near Arambh Clinic, Near Ramdass Garden,Canada Corner, Nashik Maharashtra - 422009
